iter	Logloss
0	0.6570561973
1	0.62583106
2	0.5995559614
3	0.5776264143
4	0.5591041968
5	0.5435853762
6	0.5288774891
7	0.5153987341
8	0.5039697349
9	0.4939109255
10	0.4855703668
11	0.478458427
12	0.4715160438
13	0.465601167
14	0.4606346352
15	0.456341621
16	0.4519888329
17	0.4478923314
18	0.444575401
19	0.4421320972
20	0.4396106012
21	0.4370172517
22	0.4345062665
23	0.4325637757
24	0.4307657522
25	0.4294063914
26	0.4276847789
27	0.4258350621
28	0.424296501
29	0.42316563
30	0.4221889918
31	0.4208004723
32	0.4197079378
33	0.4186469066
34	0.4179701459
35	0.4169814512
36	0.4162507084
37	0.4155042755
38	0.4149300589
39	0.4143085074
40	0.4136426228
41	0.4132081354
42	0.4125930512
43	0.4123301367
44	0.4117574059
45	0.4112932678
46	0.4107935967
47	0.4103187595
48	0.4096256061
49	0.409161885
50	0.4088184074
51	0.4086046435
52	0.4081911791
53	0.407837572
54	0.4074994343
55	0.4070908247
56	0.4067852724
57	0.4065596029
58	0.406385339
59	0.4061484587
60	0.4058551112
61	0.4055921291
62	0.4054206501
63	0.4052466642
64	0.4050900623
65	0.4047951045
66	0.4046149047
67	0.4044993955
68	0.4043709496
69	0.4041462109
70	0.4038989675
71	0.4037589662
72	0.4035203224
73	0.4033776003
74	0.4032507255
75	0.4031197921
76	0.4029306778
77	0.4024911929
78	0.4023385817
79	0.4021106509
80	0.4019381101
81	0.4017482453
82	0.4015274359
83	0.4013963767
84	0.4012547759
85	0.4010790119
86	0.4009814202
87	0.4008825412
88	0.400639234
89	0.4005003612
90	0.4003765878
91	0.4001156694
92	0.400009974
93	0.3997719807
94	0.3995806925
95	0.3994787042
96	0.3993967377
97	0.3992904666
98	0.3990941278
99	0.3989987886
100	0.3988989734
101	0.3987276678
102	0.3985935125
103	0.3984349415
104	0.3982283091
105	0.3980403001
106	0.3979524407
107	0.3977321388
108	0.397655212
109	0.3974637828
110	0.3973388351
111	0.3972703584
112	0.3971584074
113	0.3970723309
114	0.3970173763
115	0.3968176114
116	0.3967301249
117	0.3964573153
118	0.3963189103
119	0.3962670473
120	0.396082595
121	0.3958761544
122	0.395773154
123	0.3957265489
124	0.3956844125
125	0.3955930856
126	0.3954293468
127	0.3952088224
128	0.3951265818
129	0.3950885707
130	0.3950017841
131	0.3948875169
132	0.3948256983
133	0.3947494924
134	0.3946754508
135	0.3946166627
136	0.3945879935
137	0.3944948735
138	0.3944373481
139	0.394248568
140	0.3941945101
141	0.3941173402
142	0.394059303
143	0.3940311011
144	0.3939203651
145	0.3938727065
146	0.3938306654
147	0.3936381244
148	0.3934986956
149	0.3934030145
