iter	Passed	Remaining
0	0	110
1	1	104
2	2	101
3	2	99
4	3	97
5	3	95
6	4	93
7	5	91
8	5	91
9	6	91
10	7	92
11	7	91
12	8	90
13	9	90
14	9	89
15	10	88
16	11	87
17	11	86
18	12	85
19	13	84
20	13	84
21	14	83
22	14	82
23	15	81
24	16	81
25	16	80
26	17	79
27	18	78
28	18	77
29	19	77
30	19	76
31	20	75
32	21	75
33	22	75
34	22	75
35	23	74
36	24	74
37	25	73
38	25	73
39	26	73
40	27	72
41	28	72
42	28	71
43	29	71
44	30	70
45	30	70
46	31	69
47	32	69
48	33	68
49	34	68
50	34	67
51	35	67
52	36	66
53	37	65
54	37	65
55	38	64
56	39	64
57	40	63
58	40	63
59	41	62
60	42	61
61	43	61
62	43	60
63	44	59
64	45	59
65	46	58
66	46	57
67	47	57
68	48	56
69	48	55
70	49	55
71	50	54
72	51	54
73	51	53
74	52	52
75	53	52
76	54	51
77	55	50
78	55	50
79	56	49
80	57	48
81	57	48
82	58	47
83	59	46
84	60	45
85	60	45
86	61	44
87	62	44
88	63	43
89	64	42
90	64	41
91	65	41
92	66	40
93	67	39
94	67	39
95	68	38
96	69	37
97	69	37
98	70	36
99	71	35
100	72	35
101	72	34
102	73	33
103	74	32
104	75	32
105	76	31
106	76	30
107	77	30
108	78	29
109	79	28
110	79	28
111	80	27
112	81	26
113	82	25
114	83	25
115	83	24
116	84	23
117	85	23
118	86	22
119	86	21
120	87	20
121	88	20
122	89	19
123	89	18
124	90	18
125	91	17
126	92	16
127	93	16
128	94	15
129	94	14
130	95	13
131	96	13
132	97	12
133	97	11
134	98	10
135	99	10
136	100	9
137	100	8
138	101	8
139	102	7
140	103	6
141	103	5
142	104	5
143	105	4
144	106	3
145	107	2
146	107	2
147	108	1
148	109	0
149	109	0
